,scenario,n,r,days_to_fill,reopen_pct,C_hire,C_sep,C_policy,C_quality,CPR_excl_quality,CPR_incl_quality,delta_vs_status_quo_excl_quality,annual_delta_excl_quality_$M,delta_vs_status_quo_incl_quality,annual_delta_incl_quality_$M
0,"Status quo: new ATS, hires starting 2024-25 (observed)",11440.0,0.8195,28.93,8.918,18699.0,2540.0,0.0,17531.0,23377.0,40908.0,0.0,0.0,0.0,0.0
1,(a) Do nothing: status quo continues,11440.0,0.8195,28.93,8.918,18699.0,2540.0,0.0,17531.0,23377.0,40908.0,0.0,0.0,0.0,0.0
2,"(a') Do nothing, 2024->25 retention change (+0.000) continues one more year",,0.8202,28.93,8.918,18699.0,2540.0,0.0,17531.0,23354.0,40885.0,-22.878620142255386,-0.16,-22.878620142262662,-0.16
3,"(b, low) Applicants bear it: retention gain = H1 DiD only; reopen = legacy",,0.8427,28.93,7.985,18699.0,2540.0,0.0,15695.0,22665.0,38360.0,-712.5623355846328,-4.87,-2548.214478754715,-17.4
4,(b) Applicants bear it: timed/no-paste section; r and reopen = legacy centers 2024-25; status-quo days to fill,2487.0,0.8569,28.93,7.985,18699.0,2540.0,0.0,15695.0,22247.0,37942.0,-1130.101790144221,-7.72,-2965.7539333142995,-20.26
5,"(b, high) Applicants bear it: legacy r, reopen AND legacy days to fill",2487.0,0.8569,27.26,7.985,18334.0,2540.0,0.0,15695.0,21821.0,37516.0,-1556.492045841409,-10.63,-3392.1441890114875,-23.17
6,"(c) Meridian bears it: structured interview; ASSUMED r recovers 50% of the legacy gap, +15 recruiter min per reviewed application ($204/hire), +3 days to fill",,0.8382,31.93,8.452,19559.0,2540.0,0.0,16613.0,23826.0,40439.0,448.4667895899256,3.06,-469.35928199511545,-3.21
7,"(d) Bear it after hiring: $500 retention bonus at six months; ASSUMED r recovers 17% of the legacy gap (separations are front-loaded, E18)",,0.8257,28.93,8.918,18699.0,2540.0,500.0,17531.0,23682.0,41213.0,304.5475525400907,2.08,304.5475525400834,2.08
