cutoff,cell,hires_retention_slope,hires_ci_low,hires_ci_high,hires_n,flex_reopen_slope,flex_ci_low,flex_ci_high,flex_n
2022-07,legacy_post,0.0062,0.0038,0.0087,9031,-0.1381,-0.1552,-0.1209,7632
2022-07,new_post,-0.0014,-0.0035,0.0007,18435,-0.0759,-0.0897,-0.0621,12481
2023-01,legacy_post,0.0048,0.0014,0.0082,6326,-0.1221,-0.1461,-0.0981,5541
2023-01,new_post,-0.0026,-0.0049,-0.0002,16391,-0.0695,-0.0831,-0.0559,11706
2023-07,legacy_post,0.0028,-0.0019,0.0075,4003,-0.1189,-0.1513,-0.0864,3802
2023-07,new_post,-0.0055,-0.0083,-0.0028,13985,-0.0617,-0.0761,-0.0473,10580
